,metric,qid,value,modelname,query
0,map,1037798,0.0828,albert,who is robert gray
1,map,1037798,0.0968,albert_core,who is robert gray
2,map,1037798,0.0972,distilbert,who is robert gray
3,map,1037798,0.0968,distilbert_core,who is robert gray
4,map,1037798,0.0712,fasttext,who is robert gray
5,map,1037798,0.0998,fasttext_core,who is robert gray
6,map,1037798,0.0874,glove,who is robert gray
7,map,1037798,0.1101,glove_core,who is robert gray
8,map,1037798,0.1518,original,who is robert gray
9,map,104861,0.435,albert,cost of interior concrete flooring
10,map,104861,0.4237,albert_core,cost of interior concrete flooring
11,map,104861,0.4237,distilbert,cost of interior concrete flooring
12,map,104861,0.4237,distilbert_core,cost of interior concrete flooring
13,map,104861,0.5453,fasttext,cost of interior concrete flooring
14,map,104861,0.5104,fasttext_core,cost of interior concrete flooring
15,map,104861,0.5631,glove,cost of interior concrete flooring
16,map,104861,0.5219,glove_core,cost of interior concrete flooring
17,map,104861,0.5452,original,cost of interior concrete flooring
18,map,1063750,0.6328,albert,why did the us volunterilay enter ww1
19,map,1063750,0.6499,albert_core,why did the us volunterilay enter ww1
20,map,1063750,0.6499,distilbert,why did the us volunterilay enter ww1
21,map,1063750,0.6499,distilbert_core,why did the us volunterilay enter ww1
22,map,1063750,0.5944,fasttext,why did the us volunterilay enter ww1
23,map,1063750,0.5825,fasttext_core,why did the us volunterilay enter ww1
24,map,1063750,0.6779,glove,why did the us volunterilay enter ww1
25,map,1063750,0.5898,glove_core,why did the us volunterilay enter ww1
26,map,1063750,0.6005,original,why did the us volunterilay enter ww1
27,map,1103812,0.2504,albert,who formed the commonwealth of independent states
28,map,1103812,0.272,albert_core,who formed the commonwealth of independent states
29,map,1103812,0.272,distilbert,who formed the commonwealth of independent states
30,map,1103812,0.272,distilbert_core,who formed the commonwealth of independent states
31,map,1103812,0.3849,fasttext,who formed the commonwealth of independent states
32,map,1103812,0.405,fasttext_core,who formed the commonwealth of independent states
33,map,1103812,0.3124,glove,who formed the commonwealth of independent states
34,map,1103812,0.4255,glove_core,who formed the commonwealth of independent states
35,map,1103812,0.3496,original,who formed the commonwealth of independent states
36,map,1106007,0.3617,albert,define visceral?
37,map,1106007,0.3696,albert_core,define visceral?
38,map,1106007,0.3703,distilbert,define visceral?
39,map,1106007,0.3696,distilbert_core,define visceral?
